"cas","ln_pm100","fitted_pm100","sezona","data_pm100"
2024-02-23 01:00:00,0.262364264467491,0.38421344896417,1,1.3
2024-02-23 02:00:00,-0.23572233352107,0.786140855242583,1,0.79
2024-02-23 03:00:00,-0.198450938723838,0.883377551324089,1,0.82
2024-02-23 04:00:00,-0.198450938723838,0.905323486023704,1,0.82
2024-02-23 05:00:00,-0.105360515657826,1.52513501360214,1,0.9
2024-02-23 06:00:00,0.0295588022415444,1.47889214873439,1,1.03
2024-02-23 07:00:00,0.405465108108164,1.65145665374016,1,1.5
2024-02-23 08:00:00,0.678033542749897,1.64953125038495,1,1.97
2024-02-23 09:00:00,0.756121979721334,1.65725175083092,1,2.13
2024-02-23 10:00:00,0.989541193613748,1.47963210044642,1,2.69
2024-02-23 11:00:00,1.39376637595859,1.27800031666544,1,4.03
2024-02-23 12:00:00,0.989541193613748,1.55654806592578,1,2.69
2024-02-23 13:00:00,1.22671229129543,1.66522337254614,1,3.41
2024-02-23 14:00:00,1.47704872438835,1.49817798322502,1,4.38
2024-02-23 15:00:00,1.31372366828506,1.46998629438085,1,3.72
2024-02-23 16:00:00,1.84371920815877,1.71190891831047,1,6.32
2024-02-23 17:00:00,2.27212588550934,2.20783688985739,1,9.7
2024-02-23 18:00:00,2.55722731136763,2.69796587536009,1,12.9
2024-02-23 19:00:00,2.2512917986065,2.89664431999282,1,9.5
2024-02-23 20:00:00,1.89160480419777,2.85398303205014,1,6.63
2024-02-23 21:00:00,2.10169215061466,2.75962202167773,1,8.18
2024-02-23 22:00:00,1.85002837735203,2.87465339299552,1,6.36
2024-02-23 23:00:00,2.69934576047206,2.9724930981038,1,14.87
2024-02-24,2.42303124606991,2.66683629130511,1,11.28
2024-02-24 01:00:00,2.14358936150359,2.76832347821722,1,8.53
2024-02-24 02:00:00,2.13060982825424,2.89919813437211,1,8.42
2024-02-24 03:00:00,1.9387416595767,2.93271843566748,1,6.95
2024-02-24 04:00:00,2.22786154679811,2.87096241496492,1,9.28
2024-02-24 05:00:00,2.33214389523559,2.84070556321697,1,10.3
2024-02-24 06:00:00,2.55877649835446,3.09997541016114,1,12.92
2024-02-24 07:00:00,2.54160199346455,3.20747550782972,1,12.7
2024-02-24 08:00:00,2.82849635417808,2.72075413105729,1,16.92
2024-02-24 09:00:00,1.92716410623426,2.26662431632352,1,6.87
2024-02-24 10:00:00,1.17557332980424,1.88289395461386,1,3.24
2024-02-24 11:00:00,1.89461685466776,1.941137709699,1,6.65
2024-02-24 12:00:00,2.10778601468898,2.25209235511291,1,8.23
2024-02-24 13:00:00,1.44220199305819,1.86798861139314,1,4.23
2024-02-24 14:00:00,1.43983512804792,1.6032567050159,1,4.22
2024-02-24 15:00:00,1.95302761682418,1.57004253199304,1,7.05
2024-02-24 16:00:00,2.10657020906809,1.89833538687004,1,8.22
2024-02-24 17:00:00,2.25654115449264,2.17531985019866,1,9.55
2024-02-24 18:00:00,2.57413778351594,2.82823679750087,1,13.12
2024-02-24 19:00:00,2.68239045432163,2.90724900383557,1,14.62
2024-02-24 20:00:00,3.04832472367316,3.17524386492613,1,21.08
2024-02-24 21:00:00,2.7047112998367,3.23634846824703,1,14.95
2024-02-24 22:00:00,3.0750054544485,3.10020857938118,1,21.65
2024-02-24 23:00:00,2.96114082878437,3.23744265624087,1,19.32
2024-02-25,3.08190996979504,2.83231812870092,1,21.8
2024-02-25 01:00:00,2.91777073208428,3.07597750163073,1,18.5
2024-02-25 02:00:00,2.60194867021966,2.99094141241526,1,13.49
2024-02-25 03:00:00,2.79971738962803,3.09347337185158,1,16.44
