"","cas","data_temp1","mesic",".fitted","pred","lower","upper","pred_30"
"232",2024-01-10 16:00:00,-2.77,1,-1.32222877086581,NA,NA,NA,NA
"233",2024-01-10 17:00:00,-4.55,1,-4.20351575521716,NA,NA,NA,NA
"234",2024-01-10 18:00:00,-6.05,1,-5.76482699581409,NA,NA,NA,NA
"235",2024-01-10 19:00:00,-6.92,1,-6.99707907982649,NA,NA,NA,NA
"236",2024-01-10 20:00:00,-7.68,1,-7.41730218475407,NA,NA,NA,NA
"237",2024-01-10 21:00:00,-8.5,1,-8.02994131777128,NA,NA,NA,NA
"238",2024-01-10 22:00:00,-9.15,1,-8.71479827983424,NA,NA,NA,NA
"239",2024-01-10 23:00:00,-9.33,1,-9.20716488771489,NA,NA,NA,NA
"240",2024-01-11,-9.67,1,-9.24633601867657,NA,NA,NA,NA
"241",2024-01-11 01:00:00,-9.93,1,-9.74355413884738,NA,NA,NA,NA
"242",2024-01-11 02:00:00,-10.53,1,-9.9014606944618,NA,NA,NA,NA
"243",2024-01-11 03:00:00,-10.78,1,-10.4723500043464,NA,NA,NA,NA
"244",2024-01-11 04:00:00,-11,1,-10.3969578248779,NA,NA,NA,NA
"245",2024-01-11 05:00:00,-11.05,1,-10.4164413159423,NA,NA,NA,NA
"246",2024-01-11 06:00:00,-11.07,1,-10.0436469512953,NA,NA,NA,NA
"247",2024-01-11 07:00:00,-10.88,1,-9.98779241948208,NA,NA,NA,NA
"248",2024-01-11 08:00:00,-9.93,1,-9.41614802772553,NA,NA,NA,NA
"249",2024-01-11 09:00:00,-7.22,1,-7.56868594155825,NA,NA,NA,NA
"250",2024-01-11 10:00:00,-4.72,1,-4.93393738932578,NA,NA,NA,NA
"251",2024-01-11 11:00:00,-1.18,1,-2.52282502397771,NA,NA,NA,NA
"252",2024-01-11 12:00:00,-1,1,0.347165251660955,NA,NA,NA,NA
"253",2024-01-11 13:00:00,1.43,1,-0.0869222604181406,NA,NA,NA,NA
"254",2024-01-11 14:00:00,2.75,1,2.13415759535562,NA,NA,NA,NA
"255",2024-01-11 15:00:00,1.5,1,2.51808613461483,NA,NA,NA,NA
"256",2024-01-11 16:00:00,-0.35,1,0.329376782318648,NA,NA,NA,NA
"257",2024-01-11 17:00:00,-1.73,1,-1.52355294305787,NA,NA,NA,NA
"258",2024-01-11 18:00:00,-2.88,1,-2.87790801508669,NA,NA,NA,NA
"259",2024-01-11 19:00:00,-3.45,1,-3.77583589416867,NA,NA,NA,NA
"260",2024-01-11 20:00:00,-3.5,1,-4.07031757414489,NA,NA,NA,NA
"261",2024-01-11 21:00:00,-3.25,1,-3.85895145816038,NA,NA,NA,NA
"262",2024-01-11 22:00:00,-5.58,1,-3.38400212253288,NA,NA,NA,NA
"263",2024-01-11 23:00:00,-5.7,1,-6.26750046729039,NA,NA,NA,NA
"264",2024-01-12,-6.03,1,-5.82435882363534,NA,NA,NA,NA
"265",2024-01-12 01:00:00,-5.6,1,-6.29912266321995,NA,NA,NA,NA
"266",2024-01-12 02:00:00,-5.6,1,-5.70812355198934,NA,NA,NA,NA
"267",2024-01-12 03:00:00,-4.6,1,-5.63340371829732,NA,NA,NA,NA
"268",2024-01-12 04:00:00,-3.65,1,-4.17617224670869,NA,NA,NA,NA
"269",2024-01-12 05:00:00,-3.6,1,-2.99963162282523,NA,NA,NA,NA
"270",2024-01-12 06:00:00,-2.83,1,-2.98131326310298,NA,NA,NA,NA
"271",2024-01-12 07:00:00,-1.32,1,-1.82682031701463,NA,NA,NA,NA
"272",2024-01-12 08:00:00,-0.75,1,0.0415645655798547,NA,NA,NA,NA
"273",2024-01-12 09:00:00,-0.1,1,0.677952729599179,NA,NA,NA,NA
"274",2024-01-12 10:00:00,0.48,1,1.06624005627104,NA,NA,NA,NA
"275",2024-01-12 11:00:00,0.97,1,1.79545042803242,NA,NA,NA,NA
"276",2024-01-12 12:00:00,1.05,1,1.18962646868321,NA,NA,NA,NA
"277",2024-01-12 13:00:00,1.1,1,1.94087003580031,NA,NA,NA,NA
"278",2024-01-12 14:00:00,1.07,1,1.39347258605382,NA,NA,NA,NA
"279",2024-01-12 15:00:00,0.9,1,0.601756709602789,NA,NA,NA,NA
"280",2024-01-12 16:00:00,0.68,1,0.222438929767392,NA,NA,NA,NA
"281",2024-01-12 17:00:00,0.68,1,-0.0180128985678217,NA,NA,NA,NA
"282",2024-01-12 18:00:00,0.68,1,-0.0322372288914085,NA,NA,NA,NA
"283",2024-01-12 19:00:00,0.78,1,0.0943701956053689,NA,NA,NA,NA
"284",2024-01-12 20:00:00,0.37,1,0.396650571282745,NA,NA,NA,NA
"285",2024-01-12 21:00:00,0.38,1,0.00637040818805895,NA,NA,NA,NA
"286",2024-01-12 22:00:00,0.6,1,-0.48365275494192,NA,NA,NA,NA
"287",2024-01-12 23:00:00,0.82,1,0.573176637928604,NA,NA,NA,NA
"288",2024-01-13,1.02,1,0.496580882422516,NA,NA,NA,NA
"289",2024-01-13 01:00:00,1.65,1,0.85350999979582,NA,NA,NA,NA
"290",2024-01-13 02:00:00,1.82,1,1.38475954010705,NA,NA,NA,NA
"291",2024-01-13 03:00:00,1.68,1,1.80536996947771,NA,NA,NA,NA
"292",2024-01-13 04:00:00,1.57,1,1.69845285279221,NA,NA,NA,NA
"293",2024-01-13 05:00:00,1.63,1,1.6260270931703,NA,NA,NA,NA
"294",2024-01-13 06:00:00,1.6,1,2.23116490206884,NA,NA,NA,NA
"295",2024-01-13 07:00:00,1.7,1,2.47936063671964,NA,NA,NA,NA
"296",2024-01-13 08:00:00,1.6,1,2.36999128951855,NA,NA,NA,NA
"297",2024-01-13 09:00:00,1.73,1,2.26210807282577,NA,NA,NA,NA
"298",2024-01-13 10:00:00,1.93,1,2.34273181660365,NA,NA,NA,NA
"299",2024-01-13 11:00:00,1.9,1,2.44764116775727,NA,NA,NA,NA
"300",2024-01-13 12:00:00,1.98,1,2.17099180854991,NA,NA,NA,NA
"301",2024-01-13 13:00:00,2.05,1,2.221466153725,NA,NA,NA,NA
"302",2024-01-13 14:00:00,1.23,1,2.13974816048653,NA,NA,NA,NA
"303",2024-01-13 15:00:00,1.17,1,0.889171461803634,NA,NA,NA,NA
"304",2024-01-13 16:00:00,1.25,1,0.867182012812981,NA,NA,NA,NA
"305",2024-01-13 17:00:00,1.62,1,0.851552324726828,NA,NA,NA,NA
"306",2024-01-13 18:00:00,1.52,1,1.1957034904266,NA,NA,NA,NA
"307",2024-01-13 19:00:00,1.27,1,0.988216546676381,NA,NA,NA,NA
"308",2024-01-13 20:00:00,1.48,1,0.655214973550294,NA,NA,NA,NA
"309",2024-01-13 21:00:00,1.27,1,1.26076304455064,NA,NA,NA,NA
"310",2024-01-13 22:00:00,1.3,1,1.03988981284402,NA,NA,NA,NA
"311",2024-01-13 23:00:00,1.23,1,1.1593452346488,NA,NA,NA,NA
"312",2024-01-14,1.93,1,0.99451140796042,NA,NA,NA,NA
"313",2024-01-14 01:00:00,1.65,1,1.95904104300575,NA,NA,NA,NA
"314",2024-01-14 02:00:00,1.27,1,1.22501974556698,NA,NA,NA,NA
"315",2024-01-14 03:00:00,1.43,1,0.904566644658767,NA,NA,NA,NA
"316",2024-01-14 04:00:00,0.95,1,1.43223056703117,NA,NA,NA,NA
"317",2024-01-14 05:00:00,0.88,1,1.08094124451068,NA,NA,NA,NA
"318",2024-01-14 06:00:00,0.75,1,1.35866937168252,NA,NA,NA,NA
"319",2024-01-14 07:00:00,0.88,1,1.39529261264565,NA,NA,NA,NA
"320",2024-01-14 08:00:00,0.82,1,1.58621334407424,NA,NA,NA,NA
"321",2024-01-14 09:00:00,1.02,1,1.49501039270508,NA,NA,NA,NA
"322",2024-01-14 10:00:00,1.8,1,1.6756229238173,NA,NA,NA,NA
"323",2024-01-14 11:00:00,1.98,1,2.42922700601795,NA,NA,NA,NA
"324",2024-01-14 12:00:00,2.4,1,2.38077491249548,NA,NA,NA,NA
"325",2024-01-14 13:00:00,2.28,1,2.76582450420329,NA,NA,NA,NA
"326",2024-01-14 14:00:00,1.73,1,2.10769420415496,NA,NA,NA,NA
"327",2024-01-14 15:00:00,1.8,1,1.554992423783,NA,NA,NA,NA
"328",2024-01-14 16:00:00,1.85,1,1.57652303385519,NA,NA,NA,NA
"329",2024-01-14 17:00:00,1.75,1,1.5056427604589,NA,NA,NA,NA
"330",2024-01-14 18:00:00,1.38,1,1.12758051407798,NA,NA,NA,NA
"331",2024-01-14 19:00:00,0.93,1,0.69113280367441,NA,NA,NA,NA
"332",2024-01-14 20:00:00,0.95,1,0.45844784143128,NA,NA,NA,NA
"333",2024-01-14 21:00:00,1.02,1,0.596912356933599,NA,NA,NA,NA
"334",2024-01-14 22:00:00,1.1,1,0.868308751526498,NA,NA,NA,NA
"335",2024-01-14 23:00:00,1.15,1,0.926661627710501,NA,NA,NA,NA
