"","datum","typ_datumu","skutecne_hodnoty","fitted_hodnoty","predikovane_hodnoty","predikce_lower","predikce_upper"
"152",2024-01-07 08:00:00,"historie",7.11,10.1403695460082,NA,NA,NA
"153",2024-01-07 09:00:00,"historie",7.65,8.92587600472083,NA,NA,NA
"154",2024-01-07 10:00:00,"historie",6.85,8.28517647545655,NA,NA,NA
"155",2024-01-07 11:00:00,"historie",6.57,8.60702218903932,NA,NA,NA
"156",2024-01-07 12:00:00,"historie",6.99,6.94677234017957,NA,NA,NA
"157",2024-01-07 13:00:00,"historie",7.17,6.70729243056986,NA,NA,NA
"158",2024-01-07 14:00:00,"historie",6.08,7.30806604313204,NA,NA,NA
"159",2024-01-07 15:00:00,"historie",11.07,7.86659672017886,NA,NA,NA
"160",2024-01-07 16:00:00,"historie",14,8.06671517655545,NA,NA,NA
"161",2024-01-07 17:00:00,"historie",14.3,7.20467272156792,NA,NA,NA
"162",2024-01-07 18:00:00,"historie",11.12,7.69803686747334,NA,NA,NA
"163",2024-01-07 19:00:00,"historie",11.13,8.18661668771141,NA,NA,NA
"164",2024-01-07 20:00:00,"historie",9.8,7.97454639464064,NA,NA,NA
"165",2024-01-07 21:00:00,"historie",9.92,7.59556075372919,NA,NA,NA
"166",2024-01-07 22:00:00,"historie",9.62,8.17796851757478,NA,NA,NA
"167",2024-01-07 23:00:00,"historie",9.45,8.92178424682203,NA,NA,NA
"168",2024-01-08,"historie",11.48,7.7020925739051,NA,NA,NA
"169",2024-01-08 01:00:00,"historie",11.7,7.62640301013873,NA,NA,NA
"170",2024-01-08 02:00:00,"historie",13.27,8.17155770310548,NA,NA,NA
"171",2024-01-08 03:00:00,"historie",10.05,9.01792840679012,NA,NA,NA
"172",2024-01-08 04:00:00,"historie",8.96,7.87802503305921,NA,NA,NA
"173",2024-01-08 05:00:00,"historie",9.39,13.2468815047737,NA,NA,NA
"174",2024-01-08 06:00:00,"historie",9.49,13.0695450768787,NA,NA,NA
"175",2024-01-08 07:00:00,"historie",10.57,15.140633743686,NA,NA,NA
"176",2024-01-08 08:00:00,"historie",11.63,10.3265705315359,NA,NA,NA
"177",2024-01-08 09:00:00,"historie",10.55,12.4311137313783,NA,NA,NA
"178",2024-01-08 10:00:00,"historie",11.37,9.76305796969148,NA,NA,NA
"179",2024-01-08 11:00:00,"historie",7.25,10.3318052957015,NA,NA,NA
"180",2024-01-08 12:00:00,"historie",7.32,9.73296821372643,NA,NA,NA
"181",2024-01-08 13:00:00,"historie",6.49,9.64912995993794,NA,NA,NA
"182",2024-01-08 14:00:00,"historie",6.01,11.1868801913649,NA,NA,NA
"183",2024-01-08 15:00:00,"historie",7.59,11.8361876513787,NA,NA,NA
"184",2024-01-08 16:00:00,"historie",8.95,12.4266103606497,NA,NA,NA
"185",2024-01-08 17:00:00,"historie",10.65,9.84219020288181,NA,NA,NA
"186",2024-01-08 18:00:00,"historie",11.38,10.1790620923779,NA,NA,NA
"187",2024-01-08 19:00:00,"historie",12.27,10.3191851714933,NA,NA,NA
"188",2024-01-08 20:00:00,"historie",12.99,10.569533657652,NA,NA,NA
"189",2024-01-08 21:00:00,"historie",13.61,11.0951580722511,NA,NA,NA
"190",2024-01-08 22:00:00,"historie",14.5,11.7214122485987,NA,NA,NA
"191",2024-01-08 23:00:00,"historie",13.49,10.5893288636052,NA,NA,NA
"192",2024-01-09,"historie",16.28,11.550421797918,NA,NA,NA
"193",2024-01-09 01:00:00,"historie",16.45,7.44224627688229,NA,NA,NA
"194",2024-01-09 02:00:00,"historie",18.23,8.35855190579452,NA,NA,NA
"195",2024-01-09 03:00:00,"historie",18.36,7.53659733769329,NA,NA,NA
"196",2024-01-09 04:00:00,"historie",22.7,8.35352666129932,NA,NA,NA
"197",2024-01-09 05:00:00,"historie",27.51,9.30901653593711,NA,NA,NA
"198",2024-01-09 06:00:00,"historie",29.53,9.60082034001946,NA,NA,NA
"199",2024-01-09 07:00:00,"historie",33.72,11.9042223773522,NA,NA,NA
"200",2024-01-09 08:00:00,"historie",41.46,11.3557564332198,NA,NA,NA
"201",2024-01-09 09:00:00,"historie",90.19,12.9876286606563,NA,NA,NA
"202",2024-01-09 10:00:00,"historie",30.29,12.6354757309367,NA,NA,NA
"203",2024-01-09 11:00:00,"historie",14.28,13.1652295498772,NA,NA,NA
"204",2024-01-09 12:00:00,"historie",14.52,13.5727621077724,NA,NA,NA
"205",2024-01-09 13:00:00,"historie",20.96,12.8627526132417,NA,NA,NA
"206",2024-01-09 14:00:00,"historie",24.51,14.814666474968,NA,NA,NA
"207",2024-01-09 15:00:00,"historie",37.82,15.6632564957583,NA,NA,NA
"208",2024-01-09 16:00:00,"historie",59.22,15.4855655023365,NA,NA,NA
"209",2024-01-09 17:00:00,"historie",46.44,16.4274832670382,NA,NA,NA
"210",2024-01-09 18:00:00,"historie",36.31,21.7269757509173,NA,NA,NA
"211",2024-01-09 19:00:00,"historie",34.13,23.9728209837561,NA,NA,NA
