"cas","ln_no2","fitted_no2","sezona","data_no2"
2024-01-07 10:00:00,1.92424865227413,2.06453121171003,1,6.85
2024-01-07 11:00:00,1.88251383249652,1.93009963591369,1,6.57
2024-01-07 12:00:00,1.94448055624572,1.80929427426085,1,6.99
2024-01-07 13:00:00,1.96990565461153,2.15716995512641,1,7.17
2024-01-07 14:00:00,1.80500469597808,2.25551080778814,1,6.08
2024-01-07 15:00:00,2.40423874672055,2.43588469913272,1,11.07
2024-01-07 16:00:00,2.63905732961526,2.83739513127389,1,14
2024-01-07 17:00:00,2.66025953726586,2.85635155320796,1,14.3
2024-01-07 18:00:00,2.40874528882244,2.97527496144112,1,11.12
2024-01-07 19:00:00,2.40964416528745,2.66332622782107,1,11.13
2024-01-07 20:00:00,2.28238238567653,2.46586725943889,1,9.8
2024-01-07 21:00:00,2.29455292129678,2.43649330046218,1,9.92
2024-01-07 22:00:00,2.26384426467762,2.6177644740694,1,9.62
2024-01-07 23:00:00,2.24601474150565,2.32856528594854,1,9.45
2024-01-08,2.44060639089142,2.23306493522125,1,11.48
2024-01-08 01:00:00,2.45958884180371,2.39558099815105,1,11.7
2024-01-08 02:00:00,2.58550584834412,2.35528640304642,1,13.27
2024-01-08 03:00:00,2.30757263450508,2.36118149046855,1,10.05
2024-01-08 04:00:00,2.19277022698684,2.52474358197272,1,8.96
2024-01-08 05:00:00,2.23964529322017,2.58969925465552,1,9.39
2024-01-08 06:00:00,2.25023861262184,2.39693286226328,1,9.49
2024-01-08 07:00:00,2.35801979988215,2.4264480106983,1,10.57
2024-01-08 08:00:00,2.45358796653057,2.26150097377159,1,11.63
2024-01-08 09:00:00,2.35612585992208,2.30996397560594,1,10.55
2024-01-08 10:00:00,2.43097830776244,2.20758631012275,1,11.37
2024-01-08 11:00:00,1.98100146886658,2.14495178235381,1,7.25
2024-01-08 12:00:00,1.99061032797322,2.08383489722655,1,7.32
2024-01-08 13:00:00,1.870262530716,2.04060393119469,1,6.49
2024-01-08 14:00:00,1.79342474854712,1.95527396423121,1,6.01
2024-01-08 15:00:00,2.02683159140754,2.29108537170504,1,7.59
2024-01-08 16:00:00,2.19165353228676,2.37106108141582,1,8.95
2024-01-08 17:00:00,2.36555989215543,2.7981496500165,1,10.65
2024-01-08 18:00:00,2.43185742869818,3.07812301274584,1,11.38
2024-01-08 19:00:00,2.50715725872282,2.89702402245671,1,12.27
2024-01-08 20:00:00,2.56417983068251,3.10168701011065,1,12.99
2024-01-08 21:00:00,2.61080481666337,3.11178044345372,1,13.61
2024-01-08 22:00:00,2.67414864942653,3.19089576378632,1,14.5
2024-01-08 23:00:00,2.60194867021966,3.1063351334039,1,13.49
